Year Quartal,Total Number of FOI Requests
2005 Q1,7767
2005 Q2,3830
2005 Q3,3853
2005 Q4,3988
2006 Q1,4934
2006 Q2,4307
2006 Q3,4159
2006 Q4,4517
2007 Q1,4838
2007 Q2,4084
2007 Q3,3883
2007 Q4,4078
2008 Q1,4526
2008 Q2,4879
2008 Q3,4938
2008 Q4,4818
2009 Q1,6019
2009 Q2,5769
2009 Q3,6208
2009 Q4,5736
2010 Q1,6857
2010 Q2,6339
2010 Q3,7200
2010 Q4,6898
2011 Q1,7783
2011 Q2,7124
2011 Q3,7738
2011 Q4,7942
2012 Q1,9452
2012 Q2,7468
2012 Q3,7646
2012 Q4,8251
2013 Q1,9312
2013 Q2,8536
2013 Q3,9145
2013 Q4,8400
2014 Q1,9099
2014 Q2,7811
2014 Q3,7239
2014 Q4,6973
2015 Q1,8715
2015 Q2,7692
2015 Q3,8138
2015 Q4,7211
2016 Q1,8725
2016 Q2,7350
2016 Q3,6967
2016 Q4,7496
